IndicatorType,IndicatorValue,CreationTime,CreatedBy,LastUpdateTime,LastUpdatedBy,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
Url,https://www.gnavi.co.jp/,2022-03-31T07:09:13.1468950,admin@MSDx989177.onmicrosoft.com,2022-03-31T07:09:13.1586094,,,Block,Medium,"blocked by IoC part2","demo",,,Malware,,True
Url,https://www.jtu.or.jp/,2022-09-09T08:25:17.4542802,admin@MSDx989177.onmicrosoft.com,2022-09-09T08:25:17.4636977,,,Block,Medium,"JTU site blocked by MDE IoC ","demo","demo",,Exfiltration,,True
Url,https://www.who.int/,2023-03-09T14:29:46.2927896,admin@MSDx989177.onmicrosoft.com,2023-03-09T14:29:46.2927896,,,Warn,Medium,"WHO blocked by IoC Warn","WHO blocked by IoC Warn - demo",,,Execution,,True
Url,https://www.nist.gov/,2023-03-10T01:50:15.1839589,admin@MSDx989177.onmicrosoft.com,2023-03-10T01:50:15.1839589,,,Audit,Low,"NIST Blocked by IoC Audit","NIST Blocked by IoC Audit",,,Exploit,,True
DomainName,getpocket.com,2023-05-01T05:31:03.3781417,ca7154ab-7eab-4bf1-ba32-f2e119637859,2023-05-01T05:31:03.3781417,,,Block,Informational,"Unsanctioned cloud app access was blocked","Microsoft Defender for Cloud Apps blocked an attempt to access an unsanctioned app.",,,SuspiciousActivity,,True
DomainName,img-getpocket.cdn.mozilla.net,2023-05-01T05:31:03.3781417,ca7154ab-7eab-4bf1-ba32-f2e119637859,2023-05-01T05:31:03.3781417,,,Block,Informational,"Unsanctioned cloud app access was blocked","Microsoft Defender for Cloud Apps blocked an attempt to access an unsanctioned app.",,,SuspiciousActivity,,True
DomainName,getpocket.cdn.mozilla.net,2023-05-04T17:52:00.9058920,ca7154ab-7eab-4bf1-ba32-f2e119637859,2023-05-04T17:52:00.9058920,,,Block,Informational,"Unsanctioned cloud app access was blocked","Microsoft Defender for Cloud Apps blocked an attempt to access an unsanctioned app.",,,SuspiciousActivity,,True
DomainName,prod.pocket.prod.cloudops.mozgcp.net,2023-05-04T17:52:00.9058920,ca7154ab-7eab-4bf1-ba32-f2e119637859,2023-05-04T17:52:00.9058920,,,Block,Informational,"Unsanctioned cloud app access was blocked","Microsoft Defender for Cloud Apps blocked an attempt to access an unsanctioned app.",,,SuspiciousActivity,,True
DomainName,onestat.com,2023-05-16T06:52:24.1862126,ca7154ab-7eab-4bf1-ba32-f2e119637859,2023-05-16T06:52:24.1862126,,,Block,Informational,"Unsanctioned cloud app access was blocked","Microsoft Defender for Cloud Apps blocked an attempt to access an unsanctioned app.",,,SuspiciousActivity,,True
DomainName,benchmarkemail.com,2023-05-16T06:52:24.1862126,ca7154ab-7eab-4bf1-ba32-f2e119637859,2023-05-16T06:52:24.1862126,,,Block,Informational,"Unsanctioned cloud app access was blocked","Microsoft Defender for Cloud Apps blocked an attempt to access an unsanctioned app.",,,SuspiciousActivity,,True
DomainName,img-prod.pocket.prod.cloudops.mozgcp.net,2023-05-24T21:02:32.6460359,ca7154ab-7eab-4bf1-ba32-f2e119637859,2023-05-24T21:02:32.6460359,,,Block,Informational,"Unsanctioned cloud app access was blocked","Microsoft Defender for Cloud Apps blocked an attempt to access an unsanctioned app.",,,SuspiciousActivity,,True
DomainName,yimg.com,2023-05-30T05:08:13.4241837,ca7154ab-7eab-4bf1-ba32-f2e119637859,2023-05-30T05:08:13.4241837,,,Block,Informational,"Unsanctioned cloud app access was blocked","Microsoft Defender for Cloud Apps blocked an attempt to access an unsanctioned app.",,,SuspiciousActivity,,True
DomainName,yahoo.com,2023-05-30T05:08:13.4241837,ca7154ab-7eab-4bf1-ba32-f2e119637859,2023-05-30T05:08:13.4241837,,,Block,Informational,"Unsanctioned cloud app access was blocked","Microsoft Defender for Cloud Apps blocked an attempt to access an unsanctioned app.",,,SuspiciousActivity,,True
DomainName,yahoo.net,2023-05-30T05:08:13.4241837,ca7154ab-7eab-4bf1-ba32-f2e119637859,2023-05-30T05:08:13.4241837,,,Block,Informational,"Unsanctioned cloud app access was blocked","Microsoft Defender for Cloud Apps blocked an attempt to access an unsanctioned app.",,,SuspiciousActivity,,True
DomainName,yahoo.co.jp,2023-05-30T05:08:13.4241837,ca7154ab-7eab-4bf1-ba32-f2e119637859,2023-05-30T05:08:13.4241837,,,Block,Informational,"Unsanctioned cloud app access was blocked","Microsoft Defender for Cloud Apps blocked an attempt to access an unsanctioned app.",,,SuspiciousActivity,,True
DomainName,yahoo.ca,2023-05-30T05:08:13.4241837,ca7154ab-7eab-4bf1-ba32-f2e119637859,2023-05-30T05:08:13.4241837,,,Block,Informational,"Unsanctioned cloud app access was blocked","Microsoft Defender for Cloud Apps blocked an attempt to access an unsanctioned app.",,,SuspiciousActivity,,True
DomainName,im.c.yimg.jp,2023-08-08T11:34:37.8942174,ca7154ab-7eab-4bf1-ba32-f2e119637859,2023-08-08T11:34:37.8942174,,,Block,Informational,"Unsanctioned cloud app access was blocked","Microsoft Defender for Cloud Apps blocked an attempt to access an unsanctioned app.",,,SuspiciousActivity,,True
DomainName,item-shopping.c.yimg.jp,2023-10-19T06:00:50.5261439,ca7154ab-7eab-4bf1-ba32-f2e119637859,2023-10-19T06:00:50.5261439,,,Block,Informational,"Unsanctioned cloud app access was blocked","Microsoft Defender for Cloud Apps blocked an attempt to access an unsanctioned app.",,,SuspiciousActivity,,True
Url,https://www.bbc.com/news,2023-10-26T06:07:33.8761512,admin@MSDx989177.onmicrosoft.com,2023-10-26T06:07:33.8761512,,,Block,Informational,"BBC","BBC",,,DefenseEvasion,,True
Url,https://www.cnn.co.jp/world/,2023-10-26T06:08:21.7003377,admin@MSDx989177.onmicrosoft.com,2023-10-26T06:08:21.7003377,,,Block,Informational,"CNN","CNN",,,Execution,,True
